,genus,family,order,class
412,Mesobaena,Amphisbaenidae,Squamata,Reptilia
413,Chirindia,Amphisbaenidae,Squamata,Reptilia
414,Cynisca,Amphisbaenidae,Squamata,Reptilia
415,Zygaspis,Amphisbaenidae,Squamata,Reptilia
416,Agamodon,Trogonophiidae,Squamata,Reptilia
417,Diplometopon,Trogonophiidae,Squamata,Reptilia
418,Pachycalamus,Trogonophiidae,Squamata,Reptilia
419,Trogonophis,Trogonophiidae,Squamata,Reptilia
420,Blanus,Blanidae,Squamata,Reptilia
421,Varanus,Varanidae,Squamata,Reptilia
422,Lanthanotus,Lanthanotidae,Squamata,Reptilia
423,Shinisaurus,Shinisauridae,Squamata,Reptilia
424,Xenosaurus,Xenosauridae,Squamata,Reptilia
425,Heloderma,Helodermatidae,Squamata,Reptilia
426,Anniella,Anniellidae,Squamata,Reptilia
427,Celestus,Anguidae,Squamata,Reptilia
428,Diploglossus,Anguidae,Squamata,Reptilia
429,Ophiodes,Anguidae,Squamata,Reptilia
430,Abronia,Anguidae,Squamata,Reptilia
431,Barisia,Anguidae,Squamata,Reptilia
432,Mesaspis,Anguidae,Squamata,Reptilia
433,Coloptychon,Anguidae,Squamata,Reptilia
434,Gerrhonotus,Anguidae,Squamata,Reptilia
435,Elgaria,Anguidae,Squamata,Reptilia
436,Anguis,Anguidae,Squamata,Reptilia
437,Pseudopus,Anguidae,Squamata,Reptilia
438,Ophisaurus,Anguidae,Squamata,Reptilia
439,Dopasia,Anguidae,Squamata,Reptilia
440,Archaius,Chamaeleonidae,Squamata,Reptilia
441,Rieppeleon,Chamaeleonidae,Squamata,Reptilia
442,Bradypodion,Chamaeleonidae,Squamata,Reptilia
443,Nadzikambia,Chamaeleonidae,Squamata,Reptilia
444,Calumma,Chamaeleonidae,Squamata,Reptilia
445,Chamaeleo,Chamaeleonidae,Squamata,Reptilia
446,Kinyongia,Chamaeleonidae,Squamata,Reptilia
447,Trioceros,Chamaeleonidae,Squamata,Reptilia
448,Furcifer,Chamaeleonidae,Squamata,Reptilia
449,Rhampholeon,Chamaeleonidae,Squamata,Reptilia
450,Brookesia,Chamaeleonidae,Squamata,Reptilia
451,Palleon,Chamaeleonidae,Squamata,Reptilia
452,Saara,Agamidae,Squamata,Reptilia
