"genus","family","order","class","phylum"
"Monactis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Sabazia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Bidens","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Coreopsis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Thelesperma","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Cosmos","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Coreocarpus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Fitchia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Oparanthus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Narvalina","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Selleophytum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Petrobium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Leptosyne","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Diodontium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Trioncinia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Glossocardia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Isostigma","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Heterosperma","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Henricksonia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Dahlia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Hidalgoa","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Dicranocarpus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Goldmanella","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Ericentrodea","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Centipeda","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Anisopappus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Athroisma","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Blepharispermum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Helichrysum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Castroviejoa","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Anaphalis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Achyrocline","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Humeocline","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Stenophalium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Pseudognaphalium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Gnaphalium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Laphangium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Syncephalum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Galeomma","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Tietkensia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Edmondia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Anaxeton","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Petalacte","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Anderbergia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Langebergia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Syncarpha","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Raoulia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Rachelia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Ewartiothamnus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
